cf,opioid_name,strength_unit,mme_route
.039999999,BUPRENORPHINE,MCG,5
38.799999,BUPRENORPHINE,MG,5
2.2,BUPRENORPHINE,MCG,2
38.799999,BUPRENORPHINE,MG,3
38.799999,BUPRENORPHINE,MG,1
.039999999,BUPRENORPHINE,MCG,1
15,BUTORPHANOL,MG,3
7,BUTORPHANOL,MG,4
.15000001,CODEINE,MG,1
.25,DIHYDROCODEINE,MG,1
.13,FENTANYL,MCG,5
.16,FENTANYL,MCG,4
.18000001,FENTANYL,MCG,1
100,FENTANYL,MG,3
.1,FENTANYL,MCG,3
2.4000001,FENTANYL,MCG,2
1,HYDROCODONE,MG,1
5,HYDROMORPHONE,MG,1
.0049999999,HYDROMORPHONE,MCG,1
11,LEVORPHANOL,MG,1
.1,MEPERIDINE,MG,1
4.6999998,METHADONE,MG,1
1,MORPHINE,MG,1
3,NALBUPHINE,MG,1
1,OPIUM,MG,1
1.5,OXYCODONE,MG,1
3,OXYMORPHONE,MG,1
.37,PENTAZOCINE,MG,1
.15000001,PROPOXYPHENE HCL,MG,1
.23,PROPOXYPHENE NAP,MG,1
300,REMIFENTANIL,MG,1
.30000001,TAPENTADOL,MG,1
.2,TRAMADOL,MG,1
2.5,DIACETYLMORPHINE,MG,1
.60000002,DEXTROPROPOXYPHENE,MG,1
2.5,DIAMORPHINE,MG,1
